Symbol,ISIN,Company Name,Board,Delisted Date,Type
MANDUIND,Not Available,Mandu Industries Limited,Main Board,2016-11-22,Compulsory Delisting
NOVASTEEL,INE587E01010,Nova Steel India Limited,Main Board,2016-11-22,Compulsory Delisting
RAJINPIPE,INE259101017,Rajinder Pipes Limited,Main Board,2016-11-22,Compulsory Delisting
RAJINSTEEL,INE259201015,Rajinder Steels Limited,Main Board,2016-11-22,Compulsory Delisting
RUPANGIMPX,INE766B01024,Rupangi Impex Limited,Main Board,2016-11-22,Compulsory Delisting
SANDERIND,INE281801014,Sanderson Industries Limited,Main Board,2016-11-22,Compulsory Delisting
SUNSTARLUB,INE359101016,Sunstar Lubricants Limited,Main Board,2016-11-22,Compulsory Delisting
ZENGLOBAL,INE468701011,Zen Global Finance Limited,Main Board,2016-11-22,Compulsory Delisting
ARIHANTRED,INE747A01018,Arihant Threads Limited,Main Board,2017-02-07,Compulsory Delisting
KAMPERCONC,INE429401016,Kamper Concast Limited,Main Board,2017-02-07,Compulsory Delisting
KRISHNAENG,INE409C01011,Krishna Engineering Works Limited,Main Board,2017-02-07,Compulsory Delisting
MCSL,INE208S01013,Mahaveer Cotts Strings Limited,ITP,2017-03-01,Exit from ITP platform
INFOBEANS,INE344S01016,InfoBeans Technologies Limited,ITP,2017-03-01,Exit from ITP platform
BLUEBIRD,INE697H01010,Blue Bird (India) Limited,Main Board,2017-03-24,Delisting - Liquidation
BPLENGG,INE108A01013,BPL Engineering Limited,Main Board,2017-03-24,Delisting - Liquidation
SANGHIPOLY,INE146A01013,Sanghi Polyesters Limited,Main Board,2017-03-24,Delisting - Liquidation
APOWERTOOL,INE870A01018,Consortex Karl Doelitzsch (India) Limited,Main Board,2017-03-24,Compulsory Delisting
ARIHANTIND,INE006401017,Arihant Industries Limited,Main Board,2017-03-24,Compulsory Delisting
BHORIND,INE160C01010,Bhor Industries Limited,Main Board,2017-03-24,Compulsory Delisting
CAUVERSOFT,INE466B01013,Cauvery Software Engineering Systems Limited,Main Board,2017-03-24,Compulsory Delisting
CDRMEDICAL,INE042201017,CDR Medical Industries Limited,Main Board,2017-03-24,Compulsory Delisting
COMPUTECH,INE751A01028,Computech International Limited,Main Board,2017-03-24,Compulsory Delisting
COREPARENT,INE494A01017,Core Healthcare Limited,Main Board,2017-03-24,Compulsory Delisting
EIDERTELE,INE210B01015,Eider Infotech Limited,Main Board,2017-03-24,Compulsory Delisting
ETPCORP,INE449601017,ETP Corporation Limited,Main Board,2017-03-24,Compulsory Delisting
EUROSOFTAL,INE511A01018,European Software Alliances Limited,Main Board,2017-03-24,Compulsory Delisting
GUJCYPROM,INE551001014,Gujarat Cypromet Limited,Main Board,2017-03-24,Compulsory Delisting
HARYANSHET,INE038D01016,Haryana Sheet Glass Limited,Main Board,2017-03-24,Compulsory Delisting
HITECHIJEW,INE454301016,Hitechi Jewellery Industries Limited,Main Board,2017-03-24,Compulsory Delisting
ITIL,INE569A01024,Information Technologies India Limited,Main Board,2017-03-24,Compulsory Delisting
KMF,Not Available,KMF Limited,Main Board,2017-03-24,Compulsory Delisting
LANESEDA,INE520B01017,Lan Eseda Industries Limited,Main Board,2017-03-24,Compulsory Delisting
